Language,map_1000_1000,map_100_100,map_7110_7110,map_6255_6255,map_7807_7807,map_2000_2000,map_5000_5000,map_200_200,map_10000_10000,map_1671_1671,map_500_500
rust,0,0,2,2,2,0,0,0,1,2,0
bsq_tek1,0,0,2,2,2,0,0,0,1,2,0
